#;Cliente;Tp.;Parc.;F.Pgto;Vd.;NF;N.Doc;Abertura;Comp.;Venc.;D-;Valor(R$);Total(R$);Saldo(R$);Pgto.
276788;"FRIGORIFICO PRIME (CARUARU)";DP;1/1;BOLETO;275617;6584;6584;22/01/25;22/01/25;05/02/25;337;3.898,05;661,09;661,09;--
277606;"FRIGORIFICO PRIME (CARUARU)";DP;1/1;BOLETO;276392;43213;43213;27/01/25;27/01/25;10/02/25;332;4.005,63;4.005,63;4.005,63;--
277605;"FRIGORIFICO PRIME (CARUARU)";DP;1/1;BOLETO;276414;43212;43212;27/01/25;27/01/25;10/02/25;332;2.847,84;2.847,84;2.847,84;--
276144;"FRIGORIFICO PRIME (CARUARU)";DP;1/1;BOLETO;275159;6521;6521;20/01/25;20/01/25;17/02/25;325;1.484,80;484,80;484,80;--
325728;"JOSE RENAN DA SILVA(SAO CAETANO)";DP;1/1;BOLETO;314622;70391;70391;29/08/25;29/08/25;19/09/25;111;3.687,93;3.687,93;3.687,93;--
326701;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;315632;70963;70963;03/09/25;03/09/25;01/10/25;99;1.809,82;1.809,82;1.809,82;--
329064;"JOSE RENAN DA SILVA(SAO CAETANO)";DP;1/1;BOLETO;317397;72282;72282;12/09/25;12/09/25;03/10/25;97;4.048,71;4.048,71;4.048,71;--
330342;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;318633;73012;73012;18/09/25;18/09/25;09/10/25;91;4.033,80;4.033,80;4.033,80;--
328638;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;316905;72044;72044;11/09/25;11/09/25;09/10/25;91;3.810,24;3.810,24;3.810,24;--
328775;"SUPERMERCADO SUPERMIX (LOJA 02)";DP;1/1;BOLETO;317310;72113;72113;11/09/25;11/09/25;09/10/25;91;3.471,49;3.471,49;3.471,49;--
